Algoritmo,Tamano_Matriz,Num_Hilos,Repeticion,Tiempo_usec
mmClasicaPosix,1500,8,21,4464821
mmClasicaPosix,1500,8,22,4382428
mmClasicaPosix,1500,8,23,4393166
mmClasicaPosix,1500,8,24,4432404
mmClasicaPosix,1500,8,25,4508037
mmClasicaPosix,1500,8,26,4537642
mmClasicaPosix,1500,8,27,4502026
mmClasicaPosix,1500,8,28,4450521
mmClasicaPosix,1500,8,29,4414117
mmClasicaPosix,1500,8,30,4627661
mmClasicaPosix,1500,12,1,4381086
mmClasicaPosix,1500,12,2,4557883
mmClasicaPosix,1500,12,3,4315254
mmClasicaPosix,1500,12,4,4449860
mmClasicaPosix,1500,12,5,4421495
mmClasicaPosix,1500,12,6,4196661
mmClasicaPosix,1500,12,7,4269435
mmClasicaPosix,1500,12,8,4289471
mmClasicaPosix,1500,12,9,4339232
mmClasicaPosix,1500,12,10,4345608
mmClasicaPosix,1500,12,11,4417877
mmClasicaPosix,1500,12,12,4358560
mmClasicaPosix,1500,12,13,4488384
mmClasicaPosix,1500,12,14,4444356
mmClasicaPosix,1500,12,15,4428968
mmClasicaPosix,1500,12,16,4283560
mmClasicaPosix,1500,12,17,4383840
mmClasicaPosix,1500,12,18,3789147
mmClasicaPosix,1500,12,19,3781022
mmClasicaPosix,1500,12,20,3942930
mmClasicaPosix,1500,12,21,4472250
mmClasicaPosix,1500,12,22,4362206
mmClasicaPosix,1500,12,23,4292371
mmClasicaPosix,1500,12,24,4472649
mmClasicaPosix,1500,12,25,4262104
mmClasicaPosix,1500,12,26,3699203
mmClasicaPosix,1500,12,27,3902755
mmClasicaPosix,1500,12,28,4303074
mmClasicaPosix,1500,12,29,4353661
